"date" "tmin" "tmax" "rain" "year" "month" "day" "wy"
"1" 01/01/42 -14.4444444444444 -5 20.828 1942 1 1 1942
"2" 01/02/42 -14.4444444444444 -0.555555555555556 0 1942 1 2 1942
"3" 01/03/42 -10 -1.11111111111111 0 1942 1 3 1942
"4" 01/04/42 -10 0.555555555555556 0 1942 1 4 1942
"5" 01/05/42 -9.44444444444444 2.22222222222222 0 1942 1 5 1942
"6" 01/06/42 -7.77777777777778 3.88888888888889 0 1942 1 6 1942
"7" 01/07/42 -2.22222222222222 6.66666666666667 0 1942 1 7 1942
"8" 01/08/42 -1.66666666666667 6.66666666666667 0 1942 1 8 1942
"9" 01/09/42 -2.77777777777778 11.6666666666667 0 1942 1 9 1942
"10" 01/10/42 -1.66666666666667 12.7777777777778 0 1942 1 10 1942
"11" 01/11/42 -1.11111111111111 13.8888888888889 0 1942 1 11 1942
"12" 01/12/42 -1.66666666666667 12.2222222222222 0 1942 1 12 1942
"13" 01/13/42 -2.22222222222222 11.1111111111111 0 1942 1 13 1942
"14" 01/14/42 -1.11111111111111 12.2222222222222 0 1942 1 14 1942
"15" 01/15/42 -2.77777777777778 10 0 1942 1 15 1942
"16" 01/16/42 -5.55555555555556 7.22222222222222 0 1942 1 16 1942
"17" 01/17/42 -6.66666666666667 8.88888888888889 0 1942 1 17 1942
"18" 01/18/42 -5 8.88888888888889 0 1942 1 18 1942
"19" 01/19/42 -5.55555555555556 11.1111111111111 0 1942 1 19 1942
"20" 01/20/42 -5 11.1111111111111 0 1942 1 20 1942
"21" 01/21/42 -3.33333333333333 7.77777777777778 0 1942 1 21 1942
"22" 01/22/42 -3.33333333333333 5.55555555555556 46.228 1942 1 22 1942
"23" 01/23/42 -7.22222222222222 0.555555555555556 6.096 1942 1 23 1942
"24" 01/24/42 -1.66666666666667 2.22222222222222 1.016 1942 1 24 1942
"25" 01/25/42 -1.11111111111111 8.33333333333333 10.668 1942 1 25 1942
"26" 01/26/42 -1.11111111111111 10.5555555555556 15.24 1942 1 26 1942
"27" 01/27/42 -0.555555555555556 9.44444444444444 14.986 1942 1 27 1942
"28" 01/28/42 -7.22222222222222 1.11111111111111 0 1942 1 28 1942
"29" 01/29/42 -6.66666666666667 3.88888888888889 0 1942 1 29 1942
"30" 01/30/42 -3.88888888888889 3.88888888888889 3.048 1942 1 30 1942
"31" 01/31/42 -6.11111111111111 3.33333333333333 0 1942 1 31 1942
"32" 02/01/42 -2.77777777777778 6.11111111111111 0 1942 2 1 1942
"33" 02/02/42 -1.66666666666667 7.22222222222222 11.938 1942 2 2 1942
"34" 02/03/42 -1.66666666666667 5.55555555555556 16.002 1942 2 3 1942
"35" 02/04/42 -2.22222222222222 1.11111111111111 4.572 1942 2 4 1942
"36" 02/05/42 -1.66666666666667 2.77777777777778 27.432 1942 2 5 1942
"37" 02/06/42 -2.22222222222222 3.33333333333333 4.318 1942 2 6 1942
"38" 02/07/42 -2.22222222222222 2.22222222222222 5.08 1942 2 7 1942
"39" 02/08/42 -10 3.88888888888889 0 1942 2 8 1942
"40" 02/09/42 -8.88888888888889 5.55555555555556 0 1942 2 9 1942
"41" 02/10/42 -6.66666666666667 5.55555555555556 0 1942 2 10 1942
"42" 02/11/42 -7.77777777777778 6.11111111111111 0 1942 2 11 1942
"43" 02/12/42 -8.88888888888889 1.66666666666667 25.146 1942 2 12 1942
"44" 02/13/42 -12.2222222222222 -1.11111111111111 5.842 1942 2 13 1942
"45" 02/14/42 -14.4444444444444 -3.33333333333333 0 1942 2 14 1942
"46" 02/15/42 -14.4444444444444 -1.11111111111111 0 1942 2 15 1942
"47" 02/16/42 -13.8888888888889 4.44444444444444 0 1942 2 16 1942
"48" 02/17/42 -11.1111111111111 3.33333333333333 0 1942 2 17 1942
"49" 02/18/42 -9.44444444444444 3.88888888888889 0 1942 2 18 1942
"50" 02/19/42 -7.77777777777778 4.44444444444444 0 1942 2 19 1942
"51" 02/20/42 -6.66666666666667 5.55555555555556 0 1942 2 20 1942
"52" 02/21/42 -5.55555555555556 4.44444444444444 2.286 1942 2 21 1942
"53" 02/22/42 -11.6666666666667 -1.11111111111111 45.212 1942 2 22 1942
"54" 02/23/42 -11.6666666666667 3.88888888888889 0 1942 2 23 1942
"55" 02/24/42 -12.7777777777778 2.22222222222222 0 1942 2 24 1942
"56" 02/25/42 -15 1.11111111111111 5.08 1942 2 25 1942
"57" 02/26/42 -9.44444444444444 5 0 1942 2 26 1942
"58" 02/27/42 -10 3.88888888888889 0 1942 2 27 1942
"59" 02/28/42 -12.2222222222222 5.55555555555556 0 1942 2 28 1942
"60" 03/01/42 -6.66666666666667 10.5555555555556 0 1942 3 1 1942
"61" 03/02/42 -3.88888888888889 8.88888888888889 0 1942 3 2 1942
"62" 03/03/42 -5 10.5555555555556 0 1942 3 3 1942
"63" 03/04/42 -3.88888888888889 12.7777777777778 0 1942 3 4 1942
"64" 03/05/42 -3.33333333333333 13.3333333333333 0 1942 3 5 1942
"65" 03/06/42 -5 9.44444444444444 0 1942 3 6 1942
"66" 03/07/42 -4.44444444444444 11.6666666666667 0 1942 3 7 1942
"67" 03/08/42 -3.33333333333333 11.1111111111111 0 1942 3 8 1942
"68" 03/09/42 -3.33333333333333 10.5555555555556 0 1942 3 9 1942
"69" 03/10/42 -1.66666666666667 9.44444444444444 0 1942 3 10 1942
"70" 03/11/42 -1.66666666666667 5 60.706 1942 3 11 1942
"71" 03/12/42 -2.22222222222222 3.33333333333333 16.51 1942 3 12 1942
"72" 03/13/42 -7.77777777777778 -1.11111111111111 22.606 1942 3 13 1942
"73" 03/14/42 -12.7777777777778 -2.22222222222222 17.272 1942 3 14 1942
"74" 03/15/42 -13.3333333333333 0.555555555555556 5.08 1942 3 15 1942
"75" 03/16/42 -10.5555555555556 3.88888888888889 0.762 1942 3 16 1942
"76" 03/17/42 -6.66666666666667 7.77777777777778 0 1942 3 17 1942
"77" 03/18/42 -5.55555555555556 6.66666666666667 0 1942 3 18 1942
"78" 03/19/42 -1.66666666666667 3.88888888888889 0 1942 3 19 1942
"79" 03/20/42 -8.88888888888889 6.11111111111111 0 1942 3 20 1942
"80" 03/21/42 -6.66666666666667 8.88888888888889 0 1942 3 21 1942
"81" 03/22/42 -6.66666666666667 7.77777777777778 0 1942 3 22 1942
"82" 03/23/42 -7.22222222222222 4.44444444444444 0 1942 3 23 1942
"83" 03/24/42 -5.55555555555556 2.77777777777778 3.048 1942 3 24 1942
"84" 03/25/42 -11.1111111111111 1.66666666666667 0 1942 3 25 1942
"85" 03/26/42 -11.6666666666667 5 0.508 1942 3 26 1942
"86" 03/27/42 -8.33333333333333 8.33333333333333 0 1942 3 27 1942
"87" 03/28/42 -5.55555555555556 10.5555555555556 0 1942 3 28 1942
"88" 03/29/42 -3.88888888888889 12.7777777777778 0 1942 3 29 1942
